name,free_returns,items_sold,price,shipping,status
"New ListingAuthentic 100% Original 1986 Adidas ""Azteca"" World Cup Ball.",True,,350000,0,New (Other)
RARE NIKE 2006 T90 BLUE ITALIA Olympics Soccer Ball Size 5,True,,1550,699,Pre-Owned
LIMITED EDITION Rare Adidas 1982 tango espana mini World Cup Mini Ball,True,,1999,999,Pre-Owned
Size 5 Puma FIFA Quality Youth Soccer Ball,True,0,3000,1157,Pre-Owned
adidas FIFA World Cup Qatar 2022 Al Rihla Training Soccer Ball Size 5,True,0,3500,0,Brand New
"FIFA World Cup Soccer Ball Size 5, Platinum Print OFFICIAL SIZE 5",True,,1999,0,Brand New
Adidas Nativo 21 MLS Training Match Ball Replica Soccer Football Size 5 GK3501,True,,2000,399,Brand New
"USA Soccer Ball (Size 2), Licensed US Soccer Ball # 2",True,0,1495,0,Brand New
New ListingAdidas 2012 MLS Official Match Ball - New Never Used,True,,11999,1500,Brand New
New ListingRBX Size 5 Soccer Ball : 32-Panel Construction Soccer Ball with Rubber Bladder,True,,2999,0,Brand New
"Adidas MLS Club Sports Soccer Ball- White/Black, Size 5",True,,2299,0,Brand New
Umbro Ceramica soccer ball sports Size 5 Free Shipping,True,,1999,0,Brand New
Guatemala Soccer Ball- Soccer Ball Official Licensed Product - Size 5,True,,1950,475,Brand New
Rare Official CBF Brasil Match Ball Size 5 Soccer Brazil Merch Football Kick,True,,2900,0,Brand New
Official Match FIFA Voit Soccer Balls PULZAR OMB 2019 size 5,True,,3600,0,Brand New
Spedster Rapider REBORN thermo bonding Premium official match soccer ball ,True,,2400,0,Brand New
Adidas Soccer Ball Size 3 Nativo MLS Club  Blue & White Red - Youth Size Kids ,True,,1200,610,Brand New
"NIKE PITCH SOCCER BALL SIZE 4, WHITE/ORANGE/GRAY *DISTRESSED PKG",True,,1999,0,New (Other)
Soccer Ball Hello Kitty Size 4,True,69,1795,0,Brand New
NEW Size 5 Nike PSG Paris Saint Germain Strike Soccer Ball Official Futbol Full,True,0,2395,995,Brand New
Adidas Champions League 2022-23 soccer ball finale Saint Petersburg actual pics,True,0,5975,0,Brand New
ADIDAS BRAZUCA OFFICIAL SOCCER BALL FIFA WORLD CUP 2014  SIZE 5,True,0,5500,0,Brand New
Vintage 1966 Leather Soccer Ball  Football - Light Brown,True,,3990,0,Brand New
ADIDAS TANGO® ESPANA Official Soccer Match Ball - FIFA WORLD CUP 1982 Size 5 ,True,,6999,0,Brand New
Fifa World Cup Qatar 2022 Adidas Fan Soccer Ball Size 5 Red New,True,,2890,0,Brand New
Nike Strike Aerowsculpt Technology Soccer Ball Size 5,True,,3999,0,Brand New
"Moderately Used  Nike ""Strike""  Size 5 Soccer Ball",True,,500,1200,Pre-Owned
"FIFA World Cup Soccer Ball Size 5, USA Flag OFFICIAL SIZE 5",True,,1999,0,Brand New
